work,book_n,line_n,word_n,word,lemma,sedes,metrical_shape,scanned,num_scansions,line_text
Alex.,,1,1,εἰ,εἰ,1,–,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,2,καὶ,καί,2,–,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,3,μὴ,μή,3,–,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,4,σύγκληρα,σύγκληρος,4,––⏑,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,5,κατ’,κατά,6.5,⏑,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,6,ἀσίδα,ἄσιας,7,–⏑⏑,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,7,τείχεα,τεῖχος,9,–⏑⏑,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,1,8,δῆμοι,δῆμος,11,––,auto,1,Εἰ καὶ μὴ σύγκληρα κατ’ Ἀσίδα τείχεα δῆμοι
Alex.,,2,1,τύρσεσιν,τύρσις,,,auto,0,"τύρσεσιν ἐστήσαντο, τέων ἀνεδέγμεθα βλάστας,"
Alex.,,2,2,ἐστήσαντο,ἵστημι,,,auto,0,"τύρσεσιν ἐστήσαντο, τέων ἀνεδέγμεθα βλάστας,"
Alex.,,2,3,τέων,τίς,,,auto,0,"τύρσεσιν ἐστήσαντο, τέων ἀνεδέγμεθα βλάστας,"
Alex.,,2,4,ἀνεδέγμεθα,ἀναδέχομαι,,,auto,0,"τύρσεσιν ἐστήσαντο, τέων ἀνεδέγμεθα βλάστας,"
Alex.,,2,5,βλάστας,βλάστη,,,auto,0,"τύρσεσιν ἐστήσαντο, τέων ἀνεδέγμεθα βλάστας,"
Alex.,,3,1,πρωταγόρη,πρωταγόρας,1,–⏑⏑–,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,3,2,δολιχὸς,δολιχός,4,⏑⏑–,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,3,3,δὲ,δέ,6,⏑,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,3,4,διάπροθι,διάπροθι,6.5,⏑–⏑⏑,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,3,5,χῶρος,χῶρος,9,–⏑,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,3,6,ἐέργει,ἔργω,10.5,⏑––,auto,1,"Πρωταγόρη, δολιχὸς δὲ διάπροθι χῶρος ἐέργει,"
Alex.,,4,1,ῥεῖά,ῥεῖα,1,–⏑,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,4,2,κέ,ἄν,2.5,⏑,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,4,3,τοι,σύ,3,–,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,4,4,ποσίεσσιν,πόσις,4,⏑⏑–⏑,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,4,5,ἀλέξια,ἀλέξιον,6.5,⏑–⏑⏑,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,4,6,φαρμακοέσσαις,φαρμακόεις,9,–⏑⏑––,auto,1,ῥεῖά κέ τοι ποσίεσσιν ἀλέξια φαρμακοέσσαις
Alex.,,5,1,αὐδήσαιμ’,αὐδάω,1,–––,auto,1,"αὐδήσαιμ’, ἅτε φῶτας ἐνιχριμφθέντα δαμάζει·"
Alex.,,5,2,ἅτε,ἅτε,4,⏑⏑,auto,1,"αὐδήσαιμ’, ἅτε φῶτας ἐνιχριμφθέντα δαμάζει·"
Alex.,,5,3,φῶτας,φώς,5,–⏑,auto,1,"αὐδήσαιμ’, ἅτε φῶτας ἐνιχριμφθέντα δαμάζει·"
Alex.,,5,4,ἐνιχριμφθέντα,ἐγχρίμπτω,6.5,⏑–––⏑,auto,1,"αὐδήσαιμ’, ἅτε φῶτας ἐνιχριμφθέντα δαμάζει·"
Alex.,,5,5,δαμάζει,δαμάζω,10.5,⏑––,auto,1,"αὐδήσαιμ’, ἅτε φῶτας ἐνιχριμφθέντα δαμάζει·"
Alex.,,6,1,ἦ,ἦ,1,–,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,2,γὰρ,γάρ,2,–,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,3,δὴ,δή,3,–,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,4,σὺ,σύ,4,⏑,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,5,μὲν,μέν,4.5,⏑,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,6,ἄγχι,ἄγχι,5,–⏑,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,7,πολυστροίβοιο,πολύστροιβος,6.5,⏑–––⏑,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,6,8,θαλάσσης,θάλασσα,10.5,⏑––,auto,1,ἦ γὰρ δὴ σὺ μὲν ἄγχι πολυστροίβοιο θαλάσσης
Alex.,,7,1,ἄρκτον,ἄρκτος,1,–⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,2,ὑπ’,ὑπό,2.5,⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,3,ὀμφαλόεσσαν,ὀμφαλόεις,3,–⏑⏑–⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,4,ἐνάσσαο,ναίω1,6.5,⏑–⏑⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,5,ἧχί,ἧχι,9,–⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,6,τε,τε,10.5,⏑,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,7,7,ῥείης,ῥείης,11,––,auto,1,"ἄρκτον ὑπ’ ὀμφαλόεσσαν ἐνάσσαο, ἧχί τε Ῥείης"
Alex.,,8,1,λοβρίνης,λοβρίνης,1,–––,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,8,2,θαλάμαι,θαλάμη,4,⏑⏑–,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,8,3,τε,τε,6,⏑,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,8,4,καὶ,καί,6.5,⏑,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,8,5,ὀργαστήριον,ὀργαστήριον,7,–––⏑⏑,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,8,6,ἄττεω,ἄττεω,11,––,auto,1,Λοβρίνης θαλάμαι τε καὶ ὀργαστήριον Ἄττεω.
Alex.,,9,1,αὐτὰρ,ἀτάρ,1,–⏑,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,9,2,ἐγὼ,ἐγώ,2.5,⏑–,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,9,3,τόθι,τόθι,4,⏑⏑,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,9,4,παῖδες,παῖς,5,–⏑,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,9,5,ἐυζήλοιο,ἐυζήλοιο,6.5,⏑–––⏑,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,9,6,κρεούσης,κρεούσα,10.5,⏑––,auto,1,"αὐτὰρ ἐγὼ, τόθι παῖδες ἐυζήλοιο Κρεούσης"
Alex.,,10,1,πιοτάτην,πῖος,1,–⏑⏑–,auto,1,"πιοτάτην ἐδάσαντο γεωμορίην ἠπείρου,"
Alex.,,10,2,ἐδάσαντο,δατέομαι,4,⏑⏑–⏑,auto,1,"πιοτάτην ἐδάσαντο γεωμορίην ἠπείρου,"
Alex.,,10,3,γεωμορίην,γεωμορία,6.5,⏑–⏑⏑–,auto,1,"πιοτάτην ἐδάσαντο γεωμορίην ἠπείρου,"
Alex.,,10,4,ἠπείρου,ἤπειρος,10,–––,auto,1,"πιοτάτην ἐδάσαντο γεωμορίην ἠπείρου,"
Alex.,,11,1,ἑζόμενος,ἕζομαι,1,–⏑⏑–,auto,1,ἑζόμενος τριπόδεσσι παρὰ Κλαρίοις Ἑκάτοιο. —
Alex.,,11,2,τριπόδεσσι,τρίπους,4,⏑⏑–⏑,auto,1,ἑζόμενος τριπόδεσσι παρὰ Κλαρίοις Ἑκάτοιο. —
Alex.,,11,3,παρὰ,παρά,6.5,⏑–,auto,1,ἑζόμενος τριπόδεσσι παρὰ Κλαρίοις Ἑκάτοιο. —
Alex.,,11,4,κλαρίοις,κλάριος,8,⏑⏑–,auto,1,ἑζόμενος τριπόδεσσι παρὰ Κλαρίοις Ἑκάτοιο. —
Alex.,,11,5,ἑκάτοιο,ἕκατος,10,⏑⏑––,auto,1,ἑζόμενος τριπόδεσσι παρὰ Κλαρίοις Ἑκάτοιο. —
Alex.,,12,1,ἀλλ’,ἀλλά,1,–,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,2,ἤτοι,ἤτοι,2,––,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,3,χολόεν,χολόεν,4,⏑⏑–,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,4,μὲν,μέν,6,⏑,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,5,ἰδὲ,ἰδέ,6.5,⏑–,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,6,στομίοισι,στόμιον,8,⏑⏑–⏑,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,12,7,δυσαλθὲς,δυσαλθής,10.5,⏑––,auto,1,Ἀλλ’ ἤτοι χολόεν μὲν ἰδὲ στομίοισι δυσαλθὲς
Alex.,,13,1,πνυθείης,πνυθείης,1,–––,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,2,ἀκόνιτον,ἀκόνιτος,4,⏑⏑–⏑,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,3,ὃ,ὁ,6.5,⏑,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,4,δή,δή,7,–,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,5,ῥ’,ἄρα,8,,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,6,ἀχερωίδες,ἀχερωίς,8,⏑⏑–⏑⏑,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,13,7,ὄχθαι,ὄχθη,11,––,auto,1,"πνυθείης ἀκόνιτον, ὃ δή ῥ’ Ἀχερωίδες ὄχθαι"
Alex.,,14,1,φύουσιν,φύω,1,–––,auto,1,"φύουσιν, τόθι χάσμα δυσέκδρομον Εὐβουλῆος"
Alex.,,14,2,τόθι,τόθι,4,⏑⏑,auto,1,"φύουσιν, τόθι χάσμα δυσέκδρομον Εὐβουλῆος"
Alex.,,14,3,χάσμα,χάσμα,5,–⏑,auto,1,"φύουσιν, τόθι χάσμα δυσέκδρομον Εὐβουλῆος"
Alex.,,14,4,δυσέκδρομον,δυσέκδρομος,6.5,⏑–⏑⏑,auto,1,"φύουσιν, τόθι χάσμα δυσέκδρομον Εὐβουλῆος"
Alex.,,14,5,εὐβουλῆος,εὐβουλεύς,9,––––,auto,1,"φύουσιν, τόθι χάσμα δυσέκδρομον Εὐβουλῆος"
Alex.,,15,1,ἄστυρά,ἄστυρον,1,–⏑⏑,auto,1,ἄστυρά τε Πριόλαο καταστρεφθέντα δέδουπε.
Alex.,,15,2,τε,τε,3,–,auto,1,ἄστυρά τε Πριόλαο καταστρεφθέντα δέδουπε.
Alex.,,15,3,πριόλαο,πριόλαο,4,⏑⏑–⏑,auto,1,ἄστυρά τε Πριόλαο καταστρεφθέντα δέδουπε.
Alex.,,15,4,καταστρεφθέντα,καταστρέφω,6.5,⏑–––⏑,auto,1,ἄστυρά τε Πριόλαο καταστρεφθέντα δέδουπε.
Alex.,,15,5,δέδουπε,δουπέω,10.5,⏑––,auto,1,ἄστυρά τε Πριόλαο καταστρεφθέντα δέδουπε.
Alex.,,16,1,τοῖο,ὁ,1,–⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,2,δὲ,δέ,2.5,⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,3,πάντα,πᾶς,3,–⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,4,χαλινὰ,χαλινὰ,4.5,⏑–⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,5,καὶ,καί,6.5,⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,6,οὐρανόεσσαν,οὐρανόεις,7,–⏑⏑–⏑,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,16,7,ὑπήνην,ὑπήνη,10.5,⏑––,auto,1,Τοῖο δὲ πάντα χαλινὰ καὶ οὐρανόεσσαν ὑπήνην
Alex.,,17,1,οὖλά,ὅλοξ,1,–⏑,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,2,θ’,τε,2.5,,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,3,ὑποστύφει,ὑποστύφω,2.5,⏑–––,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,4,χολόεν,χολόεν,6,⏑⏑–,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,5,ποτὸν,ποτός,8,⏑⏑,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,6,ἀμφὶ,ἀμφί,9,–⏑,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,7,δὲ,δέ,10.5,⏑,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,17,8,πρώτοις,πρότερος,11,––,auto,1,"οὖλά θ’ ὑποστύφει χολόεν ποτὸν, ἀμφὶ δὲ πρώτοις"
Alex.,,18,1,εἰλύεται,εἰλύω,1,–⏑⏑–,auto,1,εἰλύεται στέρνοισι κακῇ ἀλάλυγγι βαρῦνον
Alex.,,18,2,στέρνοισι,στέρνον,4,––⏑,auto,1,εἰλύεται στέρνοισι κακῇ ἀλάλυγγι βαρῦνον
Alex.,,18,3,κακῇ,κακός,6.5,⏑–,auto,1,εἰλύεται στέρνοισι κακῇ ἀλάλυγγι βαρῦνον
Alex.,,18,4,ἀλάλυγγι,ἀλάλυγγι,8,⏑⏑–⏑,auto,1,εἰλύεται στέρνοισι κακῇ ἀλάλυγγι βαρῦνον
Alex.,,18,5,βαρῦνον,βαρύνω,10.5,⏑––,auto,1,εἰλύεται στέρνοισι κακῇ ἀλάλυγγι βαρῦνον
Alex.,,19,1,φῶτ’,φάος,1,–,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,19,2,ἐπικαρδιόωντα,ἐπικαρδιάω,2,⏑⏑–⏑⏑–⏑,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,19,3,δύῃ,δύη,6.5,⏑–,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,19,4,δ’,δέ,8,,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,19,5,ἐπιδάκνεται,ἐπίδάκνω,8,⏑⏑–⏑⏑,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,19,6,ἄκρον,ἄκρος,11,––,auto,1,φῶτ’ ἐπικαρδιόωντα· δύῃ δ’ ἐπιδάκνεται ἄκρον
Alex.,,20,1,νειαίρης,νείαιρα,1,–––,auto,1,"νειαίρης ἄκλειστον ἀειρόμενον στόμα γαστρός,"
Alex.,,20,2,ἄκλειστον,ἄκλειστος,4,––⏑,auto,1,"νειαίρης ἄκλειστον ἀειρόμενον στόμα γαστρός,"
Alex.,,20,3,ἀειρόμενον,ἀείρω,6.5,⏑–⏑⏑–,auto,1,"νειαίρης ἄκλειστον ἀειρόμενον στόμα γαστρός,"
Alex.,,20,4,στόμα,στόμα,10,⏑⏑,auto,1,"νειαίρης ἄκλειστον ἀειρόμενον στόμα γαστρός,"
Alex.,,20,5,γαστρός,γαστήρ,11,––,auto,1,"νειαίρης ἄκλειστον ἀειρόμενον στόμα γαστρός,"
Alex.,,21,1,τεύχεος,τεῦχος,1,–⏑⏑,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,2,ἣν,ὅς,3,–,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,3,κραδίην,καρδία,4,⏑⏑–,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,4,ἐπιδορπίου,ἐπιδόρπιος,6,⏑⏑–⏑⏑,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,5,οἱ,ὁ,9,–,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,6,δὲ,δέ,10,⏑,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,21,7,δοχαίην,δοχαῖος,10.5,⏑––,auto,1,"τεύχεος ἣν κραδίην ἐπιδορπίου, οἱ δὲ δοχαίην"
Alex.,,22,1,κλείουσι,κλέω,1,–––,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,22,2,στομάχοιο,στόμαχος,4,⏑⏑–⏑,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,22,3,πύλη,πύλης,6.5,⏑–,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,22,4,δ’,δέ,8,,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,22,5,ἐπικέκλιται,ἐπικλίνω,8,⏑⏑–⏑⏑,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,22,6,ἀρχαῖς,ἀρχή,11,––,auto,1,"κλείουσι στομάχοιο, πύλη δ’ ἐπικέκλιται ἀρχαῖς"
Alex.,,23,1,πρῶτα,πρῶτος,1,–⏑,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,2,κόλων,κόλος,2.5,⏑–,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,3,ὅθι,ὅθι,4,⏑⏑,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,4,πᾶσα,πᾶς,5,–⏑,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,5,βροτῶν,βροτός,6.5,⏑–,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,6,ἅλις,ἅλις,8,⏑⏑,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,7,ἐμφέρεται,ἐμφέρω,9,–⏑⏑–,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,23,8,δαῖς,δαίς,12,–,auto,1,"πρῶτα κόλων, ὅθι πᾶσα βροτῶν ἅλις ἐμφέρεται δαῖς·"
Alex.,,24,1,αἰεὶ,ἀεί,1,––,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,2,δ’,δέ,3,,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,3,ἐκ,ἐκ,3,–,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,4,φαέων,φάος,4,⏑⏑–,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,5,νοτέων,νοτέω,6,⏑⏑–,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,6,ὑπολείβεται,ὑπολείβω,8,⏑⏑–⏑⏑,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,24,7,ἱδρώς,ἱδρώς,11,––,auto,1,αἰεὶ δ’ ἐκ φαέων νοτέων ὑπολείβεται ἱδρώς·
Alex.,,25,1,ἡ,ὁ,1,–,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,2,δὲ,δέ,2,⏑,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,3,ταρασσομένη,ταράσσω,2.5,⏑–⏑⏑–,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,4,τὰ,ὁ,6,⏑,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,5,μὲν,μέν,6.5,⏑,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,6,ἔβρασεν,βράσσω,7,–⏑⏑,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,7,ἤλιθα,ἤλιθα,9,–⏑⏑,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,25,8,νηδὺς,νηδύς,11,––,auto,1,ἡ δὲ ταρασσομένη τὰ μὲν ἔβρασεν ἤλιθα νηδὺς
Alex.,,26,1,πνεύματα,πνεῦμα,1,–⏑⏑,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,2,πολλὰ,πολύς,3,–⏑,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,3,δ’,δέ,4.5,,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,4,ἔνερθε,ἔνερθε,4.5,⏑–⏑,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,5,κατὰ,κατά,6.5,⏑–,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,6,μέσον,μέσος,8,⏑⏑,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,7,ὄμφαλον,ὄμφαλον,9,–⏑⏑,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,26,8,ἵζει,ἵζω,11,––,auto,1,"πνεύματα, πολλὰ δ’ ἔνερθε κατὰ μέσον ὄμφαλον ἵζει·"
Alex.,,27,1,κράατι,κράς,1,–⏑⏑,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
Alex.,,27,2,δ’,δέ,3,,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
Alex.,,27,3,ἐν,ἐν,3,–,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
Alex.,,27,4,βάρος,βάρος,4,⏑⏑,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
Alex.,,27,5,ἐχθρὸν,ἐχθρός,5,–⏑,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
Alex.,,27,6,ὑπὸ,ὑπό,6.5,⏑–,auto,1,"κράατι δ’ ἐν βάρος ἐχθρὸν, ὑπὸ κροτάφοισι δὲ παλμὸς"
